Id,Property,en-US,zh-Hans,zh-Hant,ru-RU
_Account,,Account,账户,賬戶,аккаунт
_Microsoft,,Microsoft,微软,微軟,Microsoft 
_Offline,,Offline,离线,離線,Автономный 
_Yggdrasil,,Yggdrasil,外置,外置,Yggdrasil 
_Release,,Release,正式版,正式版,Release
_Snapshot,,Snapshot,快照版,快照版,Snapshot
_Old Beta,,Old Beta,远古版 β,遠古版 β,Устаревшая Beta
_Old Alpha,,Old Alpha,远古版 α,遠古版 α,Устаревшая Alpha
_Unknown,,Unknown,未知版本,未知版本,Неизвестная
_Inherited From,,Inherited From,继承自,繼承自,Наследует
_LaunchState_Created,,The launch task is created,启动任务已创建,啟動任務已創建,Задача запуска создана
_LaunchState_Inspecting,,Checking required items before launching,启动前检查所需项目,啟動前檢查所需項目,Проверка необходимых элементов перед запуском
_LaunchState_Authenticating,,Verifying and refreshing account token,验证并刷新帐户令牌,驗證並刷新帳戶令牌,Проверка и обновление токена аккаунта
_LaunchState_CompletingResources,,Completing the game dependent resources,补全游戏依赖资源,補全遊戲依賴資源,"Выполнение ресурсов, зависящих от игры"
_LaunchState_BuildingArguments,,Generating startup parameters,生成启动参数,生成啟動參數,Формирование параметров запуска
_LaunchState_LaunchingProcess,,Launching the game process,启动游戏进程,啟動遊戲進程,Процесс запуска игры
_LaunchState_GameRunning,,The game is running,游戏正在运行,遊戲正在運行,Игра запущена
_LaunchState_GameExited,,The game has exited normally,游戏已正常退出,遊戲已正常退出,Игра завершилась нормально
_LaunchState_Faulted,,Launch failed,启动失败,啟動失敗,Запуск не удался
_LaunchState_Killed,,The game was forced to quit,进程强制退出,進程強制退出,Игра была принудительно завершена
_LaunchState_GameCrashed,,The game crashed,游戏崩溃,遊戲崩潰,Сбой игры
_ResourceDownloadProcessState_Created,,The download task is created,下载任务已创建,下載任務已創建,Задача скачивания создана
_ResourceDownloadProcessState_Downloading,,The download task is in progress,下载任务正在进行中,下載任務正在進行中,Скачивание
_ResourceDownloadProcessState_Finished,,Download completed,下载完成,下載完成,Скачивание завершено
_ResourceDownloadProcessState_Faulted,,Download failed,下载失败,下載失敗,Не удалось скачать
_CoreInstallProcessState_Created,,The install task is created,安装任务已创建,安裝任務已創建,Задача установки создана
_CoreInstallProcessState_Installing,,The install task is in progress,安装任务正在进行中,安裝任務正在進行中,Установка
_CoreInstallProcessState_Finished,,Install completed,安装完成,安裝完成,Установка завершена
_CoreInstallProcessState_Faulted,,Install failed,安装失败,安裝失敗,Не удалось установить
_ProgressItem_InstallVanilla,,Install vanilla game ${id},安装原版游戏 ${id},安裝原版遊戲 ${id},Установка основной игры версии ${id}
_ProgressItem_CompleteResources,,Complete the game resources,补全游戏资源,補全遊戲資源,Скачивание игровых ресурсов
_ProgressItem_RunExecutor,,Run ${type} install executor,运行 ${type} 安装执行器,運行 ${type} 安裝執行器,Запуск установщика ${type}
_ProgressItem_DownloadPackage,,Download ${loader} installer package,下载 ${loader} 安装包,下載 ${loader} 安裝包,Скачивание пакета установки ${loader}
_ProgressItem_ApplySettings,,Apply core settings,应用核心设置,應用核心設置,Применение настроек ядра
_ProgressItem_InstallMod,,Install Mod: ${file},安装模组：${file},安裝模組：${file},Установка мода: ${file}
